Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Current Forestry Reports,CURR FOR REP,2198-6436,2198-6436,FORESTRY - SCIE,1138,10.975,2.42,47.46%,1/69,9.747,Q1,10.775,2.421,1/90,Q1,99.44,0.002,0.37,1.911,99.28,Q1,Q1,19,57.89%,3.7,7.7,11
International Neurourology Journal,INT NEUROUROL J,2093-4777,2093-6931,UROLOGY & NEPHROLOGY - SCIE,1067,3.038,0.8,100%,44/90,2.658,Q3,2.404,0.981,40/122,Q2,67.62,0.001,0.302,0.539,51.67,Q2,Q3,53,77.36%,4.3,8.7,41
Journal of Engineering,J ENG-NY,2314-4912,2314-4904,"ENGINEERING, MULTIDISCIPLINARY - ESCI",1067,NA,0.39,100%,NA,NA,NA,NA,NA,88/175,Q3,50,0.001,0.231,0.552,NA,NA,Q1,29,89.66%,5,6.6,26
M S-MEDECINE SCIENCES,M S-MED SCI,0767-0974,1958-5381,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",1039,0.716,0.13,71.51%,134/139,0.696,Q4,0.563,0.279,177/195,Q4,9.49,0.001,0.141,0.114,3.96,Q4,Q4,111,63.96%,7.2,6.3,71
INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,INT J NUMER MODEL EL,0894-3370,1099-1204,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",1037,1.436,0.41,2.63%,222/276,1.194,Q4,1.279,0.467,227/344,Q3,34.16,0.001,0.242,0.196,19.75,Q4,Q4,120,96.67%,2.9,6.6,116
IRBM,IRBM,1959-0318,1876-0988,"ENGINEERING, BIOMEDICAL - SCIE",992,5.5,0.58,0%,27/98,2.956,Q3,5.118,1.717,67/115,Q3,42.17,0.001,0.168,0.406,72.96,Q2,Q4,46,93.48%,3,7.8,43
Public Health Genomics,PUBLIC HEALTH GENOM,1662-4246,1662-8063,GENETICS & HEREDITY - SCIE,933,2.132,0.52,29.63%,139/175,2.459,Q3,2,0.651,125/191,Q3,34.82,0.001,0.193,0.703,20.86,Q4,Q3,43,88.37%,7,7.8,38
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,J LIBR INF SCI,0961-0006,1741-6477,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,924,1.82,0.65,6.51%,51/84,1.799,Q3,1.696,0.16,55/164,Q2,66.77,0.001,0.293,0.452,39.88,Q3,Q3,75,89.33%,3.6,8.2,67
PHOTOGRAMMETRIC RECORD,PHOTOGRAMM REC,0031-868X,1477-9730,"GEOGRAPHY, PHYSICAL - SCIE",880,2.618,0.61,8.62%,33/50,2.561,Q3,2.265,0.292,38/63,Q2,40.48,0,0.1,0.502,35,Q3,Q3,24,100%,9.8,7.1,24
JOURNAL OF INTERNATIONAL ECONOMIC LAW,J INT ECON LAW,1369-3034,1464-3758,LAW - SSCI,872,3.16,2.7,16.51%,12/155,2.342,Q1,2.827,0.647,11/417,Q1,97.48,0.002,0.436,1.124,92.58,Q1,Q2,34,97.06%,5.4,5.9,33
Inventions,INVENTIONS-BASEL,NA,2411-5134,"ENGINEERING, MULTIDISCIPLINARY - ESCI",860,NA,0.81,94.69%,NA,NA,NA,NA,NA,40/175,Q1,77.43,0.001,0.235,0.431,NA,NA,Q1,94,96.81%,2.8,5.4,91
Facets,FACETS,2371-1671,2371-1671,MULTIDISCIPLINARY SCIENCES - SCIE,797,2.862,0.66,95%,35/74,3.104,Q2,2.494,1.108,40/135,Q2,70.74,0.002,0.337,0.747,53.38,Q2,Q2,93,86.02%,3.3,5.4,80
VOPROSY FILOSOFII,VOP FILOS,0042-8744,0042-8744,PHILOSOPHY - AHCI,758,NA,0.37,0%,NA,NA,NA,NA,NA,160/321,Q2,50.31,0.002,0.386,0.168,NA,NA,Q3,241,100%,8.8,15.2,241
Asia-Pacific Journal of Oncology Nursing,ASIA-PAC J ONCOL NUR,2347-5625,2349-6673,NURSING - SCIE,751,2.22,0.95,96.41%,56/125,2.556,Q2,2.128,0.244,57/182,Q2,68.96,0.001,0.281,0.535,55.6,Q2,Q2,86,79.07%,3.6,6.9,68
Journal of Entrepreneurship in Emerging Economies,J ENTREP EMERG ECON,2053-4604,2053-4612,BUSINESS - ESCI,747,NA,0.72,1.58%,NA,NA,NA,NA,NA,126/296,Q2,57.6,0.001,0.138,0.419,NA,NA,Q2,91,97.8%,2.5,8.2,89
Journal of Financial Services Marketing,J FINANC SERV MARK,1363-0539,1479-1846,BUSINESS - ESCI,682,NA,0.6,6.25%,NA,NA,NA,NA,NA,156/296,Q3,47.47,0,0.039,0.233,NA,NA,Q3,45,100%,8.4,9.8,45
Environmental Research Communications,ENVIRON RES COMMUN,2515-7620,2515-7620,ENVIRONMENTAL SCIENCES - SCIE,668,3.237,0.54,99.36%,164/279,3.237,Q3,3.216,0.333,187/325,Q3,42.62,0.002,0.347,0.876,41.4,Q3,Q2,120,98.33%,2,6.9,118
JOURNAL OF APICULTURAL SCIENCE,J APIC SCI,1643-4439,2299-4831,ENTOMOLOGY - SCIE,657,1.526,0.43,100%,54/100,1.633,Q3,1.474,0.154,75/105,Q3,29.05,0,0.072,0.253,46.5,Q3,Q3,26,88.46%,8,10.9,23
Proceedings of the Indian National Science Academy,P INDIAN NATL SCI AC,0370-0046,2454-9983,MULTIDISCIPLINARY SCIENCES - ESCI,631,NA,0.1,0%,NA,NA,NA,NA,NA,107/135,Q4,21.11,0.001,0.123,NA,NA,NA,NA,52,67.31%,7.1,10.7,35
Agricultural and Resource Economics Review,AGRIC RESOUR ECON RE,1068-2805,2372-2614,AGRICULTURAL ECONOMICS & POLICY - ESCI,587,NA,0.69,97.06%,NA,NA,NA,NA,NA,20/35,Q3,44.29,0.001,0.13,0.527,NA,NA,Q1,23,100%,8.9,10.1,23
International Journal of Sport Communication,INT J SPORT COMMUN,1936-3915,1936-3907,COMMUNICATION - ESCI,564,NA,0.72,2.06%,NA,NA,NA,NA,NA,89/218,Q2,59.4,0,0.106,NA,NA,NA,NA,28,100%,6.5,8.5,28
IET Wireless Sensor Systems,IET WIREL SENS SYST,2043-6386,2043-6394,TELECOMMUNICATIONS - ESCI,538,NA,0.44,16.51%,NA,NA,NA,NA,NA,79/115,Q3,31.74,0,0.105,0.283,NA,NA,Q3,21,90.48%,3.9,4.9,19
Yale Journal on Regulation,YALE J REGUL,0741-9457,2376-5925,LAW - SSCI,533,2.962,2.41,0%,16/155,2.232,Q1,2.808,1,23/417,Q1,94.6,0.001,0.183,1.299,90,Q1,Q1,27,96.3%,8.2,11.2,26
BMGN-The Low Countries Historical Review,BMGN,0165-0505,2211-2898,HISTORY - AHCI,511,0.889,2.09,98.25%,NA,0.962,NA,0.389,0.476,29/494,Q1,94.23,0.001,0.133,0.628,NA,NA,Q2,21,100%,17.1,20.4,21
International Journal of Modelling Identification and Control,INT J MODEL IDENTIF,1746-6172,1746-6180,AUTOMATION & CONTROL SYSTEMS - ESCI,497,NA,0.3,0%,NA,NA,NA,NA,NA,67/82,Q4,18.9,0,0.058,0.071,NA,NA,Q4,18,100%,6.4,6.4,18
Discrete Mathematics Algorithms and Applications,DISCRET MATH ALGORIT,1793-8309,1793-8317,"MATHEMATICS, APPLIED - ESCI",464,NA,0.39,1.49%,NA,NA,NA,NA,NA,249/317,Q4,21.61,0.001,0.145,0.177,NA,NA,Q2,102,98.04%,4.2,11.1,100
Interactive Technology and Smart Education,INTERACT TECHNOL SMA,1741-5659,1758-8510,EDUCATION & EDUCATIONAL RESEARCH - ESCI,450,NA,1.31,0.98%,NA,NA,NA,NA,NA,158/743,Q1,78.8,0,0.095,0.371,NA,NA,Q2,39,97.44%,2.9,7.1,38
Current Research in Food Science,CURR RES FOOD SCI,NA,2665-9271,FOOD SCIENCE & TECHNOLOGY - SCIE,438,6.269,1.45,100%,25/144,6.288,Q1,6.115,1.069,14/165,Q1,91.82,0,0.079,0.746,82.99,Q1,Q1,101,95.05%,1.4,7,96
ENTERPRISE & SOCIETY,ENTERP SOC,1467-2227,1467-2235,BUSINESS - SSCI,437,0.844,0.54,19.4%,148/154,0.827,Q4,0.641,0.086,171/296,Q3,42.4,0.001,0.22,0.718,4.22,Q4,Q3,70,100%,9,19.1,70
International Journal of Telemedicine and Applications,INT J TELEMED APPL,1687-6415,1687-6423,HEALTH CARE SCIENCES & SERVICES - ESCI,385,NA,0.7,100%,NA,NA,NA,NA,NA,74/159,Q2,53.77,0,0.046,0.463,NA,NA,Q2,10,70%,7.1,6.5,7
International Journal of Wireless Information Networks,INT J WIREL INF NETW,1068-9605,1572-8129,TELECOMMUNICATIONS - ESCI,381,NA,0.38,8.7%,NA,NA,NA,NA,NA,93/115,Q4,19.57,0,0.077,0.197,NA,NA,Q3,35,91.43%,3.8,4.8,32
Frontiers of Business Research in China,FRONT BUS RES CHINA,1673-7326,1673-7431,BUSINESS - ESCI,350,NA,0.44,100%,NA,NA,NA,NA,NA,197/296,Q3,33.61,0,0.061,0.259,NA,NA,Q3,10,100%,4.4,8.9,10
Frontiers in Water,FRONT WATER,NA,2624-9375,WATER RESOURCES - ESCI,299,NA,0.61,100%,NA,NA,NA,NA,NA,66/124,Q3,47.18,0,0.087,0.63,NA,NA,Q1,181,89.5%,1.2,7.7,162
Journal of Laboratory Medicine,J LAB MED,2567-9430,2567-9449,MEDICAL LABORATORY TECHNOLOGY - SCIE,286,0.989,0.25,96.4%,27/29,0.764,Q4,0.913,0.66,29/33,Q4,13.64,0,0.07,0.155,8.62,Q4,Q4,47,76.6%,3.7,5.3,36
Journal of Intellectual Property Law & Practice,J INTELLET PROP LAW,1747-1532,1747-1540,LAW - ESCI,280,NA,0.54,4.78%,NA,NA,NA,NA,NA,212/417,Q3,49.28,0,0.099,0.118,NA,NA,Q3,112,96.43%,3.9,5.6,108
Insights-The UKSG Journal,INSIGHTS,2048-7754,2048-7754,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,270,NA,0.3,90.8%,NA,NA,NA,NA,NA,91/164,Q3,44.82,0.001,0.124,0.362,NA,NA,Q1,25,96%,4.5,5.9,24
AGROCHIMICA,AGROCHIMICA,0002-1857,NA,"CHEMISTRY, APPLIED - SCIE",257,0.283,0.07,0%,71/73,0.512,Q4,0.226,0.083,69/75,Q4,8.67,0,0.015,0.057,3.42,Q4,Q4,24,100%,9,10.4,24
Arte Individuo y Sociedad,ARTE INDIVIDUO SOC,1131-5598,1988-2408,ART - AHCI,240,NA,1.23,76.67%,NA,NA,NA,NA,NA,14/141,Q1,90.43,0.001,0.158,0.335,NA,NA,Q2,72,98.61%,5.1,10.9,71
Journal for Cultural Research,J CULT RES,1479-7585,1740-1666,CULTURAL STUDIES - ESCI,227,NA,0.45,11.84%,NA,NA,NA,NA,NA,39/56,Q3,31.25,0,0.098,0.375,NA,NA,Q1,31,100%,8.2,9,31
Global Knowledge Memory and Communication,GLOB KNOWL MEM COMMU,2514-9342,2514-9350,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,211,NA,0.37,0.51%,NA,NA,NA,NA,NA,80/164,Q2,51.52,0,0.063,0.207,NA,NA,Q2,84,95.24%,2.2,7,80
Sovremennye Tehnologii v Medicine,SOVREM TEHNOL MED,2076-4243,2076-4243,"MEDICINE, RESEARCH & EXPERIMENTAL - ESCI",200,NA,0.07,98.22%,NA,NA,NA,NA,NA,183/195,Q4,6.41,0,0.045,0.051,NA,NA,Q4,61,80.33%,4.6,5.3,49
SEA TECHNOLOGY,SEA TECHNOL,0093-3651,NA,"ENGINEERING, OCEAN - SCIE",189,0.132,0.05,0%,16/16,0.094,Q4,0.132,0,19/19,Q4,2.63,0,0.017,0.025,3.13,Q4,Q4,51,100%,12.8,NA,51
Ethical Perspectives,ETHICAL PERSPECT,1370-0049,1783-1431,ETHICS - SSCI,166,0.238,0.21,0%,56/56,0.257,Q4,0.238,0.063,68/75,Q3,10,0,0.052,0.232,0.89,Q4,Q4,16,100%,10.9,11.7,16
French History,FR HIST,0269-1191,1477-4542,HISTORY - AHCI,140,0.114,0.52,10.77%,NA,0.219,NA,0.091,0,252/494,Q3,49.09,0,0.065,0.305,NA,NA,Q3,21,95.24%,12.8,24.6,20
Medicina de Familia-SEMERGEN,MED FAM-SEMERGEN,1138-3593,1578-8865,PRIMARY HEALTH CARE - ESCI,132,NA,0.39,0%,NA,NA,NA,NA,NA,25/27,Q4,9.26,0,0.049,NA,NA,NA,NA,60,86.67%,1.8,5.5,52
ROMANTISME,ROMANTISME,0048-8593,1957-7958,LITERATURE - AHCI,118,NA,0.28,0%,NA,NA,NA,NA,NA,150/198,Q4,24.49,0,0.023,0.058,NA,NA,Q4,36,100%,23.5,37,36
Cosmos and History-The Journal of Natural and Social Philosophy,COSM HIST,1832-9101,1832-9101,PHILOSOPHY - ESCI,117,NA,0.31,0%,NA,NA,NA,NA,NA,175/321,Q3,45.64,0,0.051,0.106,NA,NA,Q3,57,100%,6.8,18.3,57
Vehicles,VEHICLES-BASEL,NA,2624-8921,"ENGINEERING, MECHANICAL - ESCI",108,NA,0.45,97.87%,NA,NA,NA,NA,NA,104/177,Q3,41.53,0,0.017,0.191,NA,NA,Q2,51,98.04%,NA,6.1,50
Journal of Healthcare Quality Research,J HEALTHC QUAL RES,NA,2603-6479,HEALTH CARE SCIENCES & SERVICES - ESCI,90,NA,0.15,0%,NA,NA,NA,NA,NA,144/159,Q4,9.75,0,0.027,0.136,NA,NA,Q3,43,97.67%,NA,4.9,42
Pennsylvania History-A Journal of Mid-Atlantic Studies,PA HIST,0031-4528,2153-2109,HISTORY - ESCI,82,NA,0.25,0%,NA,NA,NA,NA,NA,362/494,Q3,26.82,0,0.018,0.074,NA,NA,Q4,17,100%,NA,48.6,17
Chinese Journal of Comparative Law,CHIN J COMP LAW,2050-4802,2050-4810,LAW - ESCI,76,NA,1.13,7.41%,NA,NA,NA,NA,NA,97/417,Q1,76.86,0,0.061,NA,NA,NA,NA,13,92.31%,NA,7,12
International Journal of Business Analytics,INT J BUS ANAL,2334-4547,2334-4555,BUSINESS - ESCI,74,NA,0.16,0%,NA,NA,NA,NA,NA,254/296,Q4,14.36,0,0.016,0.084,NA,NA,Q4,19,94.74%,NA,7.7,18
MEANJIN,MEANJIN,0025-6293,1448-8094,LITERARY REVIEWS - AHCI,69,NA,0.54,0%,NA,NA,NA,NA,NA,14/48,Q2,71.88,0,0.034,0.042,NA,NA,Q3,57,100%,NA,13.1,57
International Journal of AEROSPACE Psychology,INT J AEROSP PSYCHOL,2472-1832,2472-1840,"PSYCHOLOGY, APPLIED - SSCI",64,0.613,0.23,7.14%,81/83,1.143,Q4,0.581,0.28,98/112,Q4,12.95,0,0.025,0.246,3.01,Q4,Q4,25,88%,NA,10.5,22
APOLLO-The International Art Magazine,APOLLO-UK,0003-6536,0003-6536,ART - AHCI,55,NA,0.01,0%,NA,NA,NA,NA,NA,133/141,Q4,6.03,0,0.006,0.008,NA,NA,Q4,29,100%,NA,NA,29
Ibersid-Revista de Sistemas de Informacion y Documentacion,IBERSID,1888-0967,2174-081X,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,42,NA,0.12,0%,NA,NA,NA,NA,NA,131/164,Q4,20.43,0,0.017,0.096,NA,NA,Q4,15,100%,NA,6.5,15
Canadian Journal of Film Studies-Revue Canadienne d Etudes Cinematographiques,CAN J FILM STUD,0847-5911,2561-424X,"FILM, RADIO, TELEVISION - AHCI",40,NA,0.24,0%,NA,NA,NA,NA,NA,42/64,Q3,35.16,0,0.021,0.176,NA,NA,Q3,11,100%,NA,19.8,11
A&C-Revista de Direito Administrativo & Constitucional,A C-REV DIREITO ADM,1516-3210,1984-4182,LAW - ESCI,39,NA,0.15,99.11%,NA,NA,NA,NA,NA,337/417,Q4,19.3,0,0.046,0.115,NA,NA,Q3,30,100%,NA,13,30
Logos-Journal of the World Publishing Community,LOGOS J WORLD PUBL C,0957-9656,1878-4712,"HUMANITIES, MULTIDISCIPLINARY - ESCI",36,NA,0.5,2.33%,NA,NA,NA,NA,NA,179/402,Q2,55.6,0,0.011,0.066,NA,NA,Q3,12,100%,NA,8.5,12
Tsinghua China Law Review,TSINGHUA CHINA LAW R,2151-8904,2160-2379,LAW - ESCI,31,NA,0.18,0%,NA,NA,NA,NA,NA,323/417,Q4,22.66,0,0.017,0.141,NA,NA,Q2,NA,NA,NA,NA,NA
BUSINESS HISTORY,BUS HIST,0007-6791,1743-7938,HISTORY OF SOCIAL SCIENCES - SSCI,1383,0.8,0.68,15.33%,15/34,1.224,Q1,0.605,0.484,21/38,Q3,46.05,0.002,0.407,0.552,57.35,Q2,Q2,95,97.89%,8.3,18.4,93
Historical Social Research-Historische Sozialforschung,HIST SOC RES,0172-6404,NA,HISTORY OF SOCIAL SCIENCES - SSCI,1081,0.806,1.59,0%,14/34,0.838,Q2,0.62,1.458,9/38,Q1,77.63,0.001,0.255,0.391,60.29,Q2,Q3,59,100%,9.6,8.9,59
JOURNAL OF PHILOSOPHY OF EDUCATION,J PHILOS EDUC,0309-8249,1467-9752,HISTORY OF SOCIAL SCIENCES - SSCI,982,0.761,0.68,17.77%,17/34,0.914,Q2,0.602,0.242,21/38,Q3,46.05,0.001,0.225,0.353,51.47,Q2,Q4,66,98.48%,10.3,10.8,65
JOURNAL OF HISTORICAL GEOGRAPHY,J HIST GEOGR,0305-7488,1095-8614,HISTORY OF SOCIAL SCIENCES - SSCI,874,1.031,1.06,12.77%,10/34,1.162,Q2,0.922,0.5,12/38,Q2,69.74,0.001,0.227,0.665,72.06,Q2,Q2,30,100%,11.3,22.4,30
SOCIAL SCIENCE HISTORY,SOC SCI HIST,0145-5532,1527-8034,HISTORY OF SOCIAL SCIENCES - SSCI,627,0.954,1.72,7.62%,11/34,0.931,Q2,0.954,0.375,5/38,Q1,88.16,0.001,0.296,0.913,69.12,Q2,Q1,40,100%,16.5,20.8,40
HISTORY OF THE HUMAN SCIENCES,HIST HUM SCI,0952-6951,1461-720X,HISTORY OF SOCIAL SCIENCES - SSCI,618,0.591,0.85,26.32%,23/34,0.86,Q2,0.538,0.2,14/38,Q2,64.47,0.001,0.216,0.568,33.82,Q3,Q2,40,97.5%,10.7,21.9,39
History of Education,HIST EDUC,0046-760X,1464-5130,HISTORY OF SOCIAL SCIENCES - SSCI,587,0.549,0.47,18.37%,26/34,0.718,Q3,0.49,0.022,29/38,Q4,25,0.001,0.303,0.653,25,Q4,Q2,45,100%,11.6,34.5,45
PAEDAGOGICA HISTORICA,PAEDAGOG HIST,0030-9230,1477-674X,HISTORY OF SOCIAL SCIENCES - SSCI,555,0.669,0.39,8.87%,19/34,0.639,Q3,0.629,0.165,34/38,Q4,11.84,0.001,0.209,0.381,45.59,Q3,Q3,79,100%,8.8,26.7,79
Planning Perspectives,PLAN PERSPECT,0266-5433,1466-4518,HISTORY OF SOCIAL SCIENCES - SSCI,545,0.629,1.69,13.69%,22/34,0.704,Q3,0.532,0.159,8/38,Q1,80.26,0.001,0.127,0.293,36.76,Q3,Q4,44,100%,10.7,21.1,44
Law and History Review,LAW HIST REV,0738-2480,1939-9022,HISTORY OF SOCIAL SCIENCES - SSCI,463,0.769,1.7,2.15%,16/34,0.953,Q2,0.692,0.214,6/38,Q1,85.53,0.002,0.324,1.059,54.41,Q2,Q1,28,89.29%,10.9,24.4,25
History of the Family,HIST FAM,1081-602X,1873-5398,HISTORY OF SOCIAL SCIENCES - SSCI,453,1.19,0.83,28.72%,9/34,1.118,Q2,0.778,0.097,16/38,Q2,59.21,0.001,0.204,0.695,75,Q2,Q2,31,96.77%,8.5,18,30
HISTORY OF PSYCHIATRY,HIST PSYCHIATR,0957-154X,1740-2360,HISTORY OF SOCIAL SCIENCES - SSCI,438,0.579,0.38,16.67%,25/34,0.55,Q4,0.566,0.031,35/38,Q4,9.21,0,0.091,0.263,27.94,Q3,Q4,32,96.88%,13.3,51.7,31
JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES,J HIST BEHAV SCI,0022-5061,1520-6696,HISTORY OF SOCIAL SCIENCES - SSCI,398,0.667,0.66,12.07%,20/34,0.61,Q4,0.576,0.6,23/38,Q3,40.79,0,0.057,0.361,42.65,Q3,Q4,25,100%,19.3,15.8,25
LABOR HISTORY,LABOR HIST-UK,0023-656X,1469-9702,HISTORY OF SOCIAL SCIENCES - SSCI,387,0.632,0.8,9.85%,21/34,0.719,Q3,0.484,0.135,17/38,Q2,56.58,0.001,0.148,0.371,39.71,Q3,Q4,37,97.3%,7,17.8,36
JOURNAL OF FAMILY HISTORY,J FAM HIST,0363-1990,1552-5473,HISTORY OF SOCIAL SCIENCES - SSCI,335,0.403,0.49,4.88%,29/34,0.392,Q4,0.387,0.25,27/38,Q3,30.26,0,0.09,0.338,16.18,Q4,Q4,20,100%,16.7,23.2,20
Journal of the History of Economic Thought,J HIST ECON THOUGHT,1053-8372,1469-9656,HISTORY OF SOCIAL SCIENCES - SSCI,319,0.583,1.28,2.67%,24/34,0.653,Q3,0.583,0.444,11/38,Q2,72.37,0.001,0.142,0.589,30.88,Q3,Q2,27,100%,11.4,33.9,27
History of Psychology,HIST PSYCHOL,1093-4510,1939-0610,HISTORY OF SOCIAL SCIENCES - SSCI,287,0.838,0.85,0%,13/34,0.821,Q3,0.622,0.516,14/38,Q2,64.47,0,0.06,0.31,63.24,Q2,Q4,31,96.77%,8.8,35.2,30
Imago Mundi-The International Journal for the History of Cartography,IMAGO MUNDI,0308-5694,1479-7801,HISTORY OF SOCIAL SCIENCES - SSCI,252,0.182,0.45,3.03%,34/34,0.397,Q4,0.091,0,31/38,Q4,19.74,0,0.07,0.546,1.47,Q4,Q3,11,100%,24.7,29,11
History of Education Review,HIST EDUC REV,0819-8691,0819-8691,HISTORY OF SOCIAL SCIENCES - ESCI,90,NA,0.43,0%,NA,NA,NA,NA,NA,32/38,Q4,17.11,0,0.038,0.198,NA,NA,Q2,13,100%,NA,17.8,13
Psychoanalysis and History,PSYCHOANAL HIST,1460-8235,1755-201X,HISTORY OF SOCIAL SCIENCES - SSCI,74,0.353,0.64,2.13%,30/34,0.389,Q4,0.324,0.077,24/38,Q3,38.16,0,0.065,0.443,13.24,Q4,Q3,13,92.31%,NA,26.1,12
Information & Culture,INFORM CULT,2164-8034,2166-3033,HISTORY OF SOCIAL SCIENCES - SSCI,60,0.258,0.49,0%,33/34,0.256,Q4,0.258,0.308,27/38,Q3,30.26,0,0.036,0.203,4.41,Q4,Q4,13,100%,NA,14.3,13
HSE-Social and Education History,HSE-SOC EDUC HIST,2014-3567,2014-3567,HISTORY OF SOCIAL SCIENCES - ESCI,32,NA,0.31,8.33%,NA,NA,NA,NA,NA,36/38,Q4,6.58,0,0.022,0.181,NA,NA,Q3,12,100%,NA,18,12
Cuadernos de Historia del Derecho,CUAD HIST DERECHO,1133-7613,1988-2521,HISTORY OF SOCIAL SCIENCES - ESCI,26,NA,0.05,85.71%,NA,NA,NA,NA,NA,38/38,Q4,1.32,0,0.015,0.149,NA,NA,Q4,11,90.91%,NA,25.4,10
JOURNAL OF MARKETING RESEARCH,J MARKETING RES,0022-2437,1547-7193,BUSINESS - SSCI,31505,6.664,1.22,11.58%,45/154,8.638,Q1,6.193,1.437,68/296,Q1,77.2,0.011,2.386,3.786,71.1,Q2,Q1,71,98.59%,28.5,11.2,70
JOURNAL OF CONSUMER RESEARCH,J CONSUM RES,0093-5301,1537-5277,BUSINESS - SSCI,29675,8.612,1.72,11.7%,32/154,11.116,Q1,7.879,1.583,32/296,Q1,89.36,0.011,2.455,3.882,79.55,Q1,Q1,72,98.61%,17.7,12.4,71
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,J ACAD MARKET SCI,0092-0703,1552-7824,BUSINESS - SSCI,20821,14.904,2.21,22.87%,3/154,17.993,Q1,14.2,1.509,12/296,Q1,96.11,0.01,2.244,3.999,98.38,Q1,Q1,53,90.57%,10.3,10.7,48
JOURNAL OF RETAILING,J RETAILING,0022-4359,1873-3271,BUSINESS - SSCI,11538,11.19,1.61,9.09%,13/154,10.677,Q1,10.413,3.553,39/296,Q1,86.99,0.003,0.725,2.207,91.88,Q1,Q1,47,100%,14.6,9.6,47
EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,0309-0566,1758-7123,BUSINESS - SSCI,10577,5.181,0.9,3.19%,74/154,5.035,Q3,4.886,0.619,102/296,Q2,65.71,0.005,1.116,0.924,52.27,Q2,Q3,105,98.1%,10.8,11.1,103
JOURNAL OF WORLD BUSINESS,J WORLD BUS,1090-9516,1878-5573,BUSINESS - SSCI,9280,8.635,1.91,16.86%,31/154,11.36,Q1,7.26,4.103,24/296,Q1,92.06,0.007,1.521,2.421,80.19,Q1,Q1,68,91.18%,7.5,10.9,62
JOURNAL OF CONSUMER PSYCHOLOGY,J CONSUM PSYCHOL,1057-7408,1532-7663,BUSINESS - SSCI,8963,4.551,0.97,7.98%,89/154,5.989,Q2,4.102,1.043,93/296,Q2,68.75,0.006,1.196,2.195,42.53,Q3,Q1,70,98.57%,11.1,11.1,69
JOURNAL OF SERVICE RESEARCH,J SERV RES-US,1094-6705,1552-7379,BUSINESS - SSCI,8180,10.052,2.09,27.03%,23/154,12.125,Q1,9.182,2.206,17/296,Q1,94.43,0.004,0.885,2.71,85.39,Q1,Q1,34,97.06%,10.7,9.6,33
JOURNAL OF ADVERTISING,J ADVERTISING,0091-3367,1557-7805,BUSINESS - SSCI,7419,6.528,1.83,16.13%,48/154,9.717,Q1,5.427,0.758,30/296,Q1,90.03,0.004,0.882,2.184,69.16,Q2,Q1,66,95.45%,13.6,9.8,63
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,INT J RES MARK,0167-8116,1873-8001,BUSINESS - SSCI,6653,8.047,1.26,18.75%,35/154,7.595,Q2,7.523,2.69,65/296,Q1,78.21,0.004,0.951,1.888,77.6,Q1,Q1,58,94.83%,11.1,11.2,55
JOURNAL OF BUSINESS AND PSYCHOLOGY,J BUS PSYCHOL,0889-3268,1573-353X,BUSINESS - SSCI,5838,6.604,1.57,14.22%,46/154,6.84,Q2,6.458,0.817,40/296,Q1,86.66,0.006,1.19,2.177,70.45,Q2,Q1,60,100%,8.7,13.3,60
International Journal of Consumer Studies,INT J CONSUM STUD,1470-6423,1470-6431,BUSINESS - SSCI,5787,7.096,1.12,9.88%,42/154,5.454,Q3,5.119,2.822,74/296,Q1,75.17,0.002,0.534,0.703,73.05,Q2,Q3,118,77.97%,7.3,7.5,92
PUBLIC RELATIONS REVIEW,PUBLIC RELAT REV,0363-8111,1873-4537,BUSINESS - SSCI,5668,4.636,1.37,4.55%,86/154,4.467,Q3,3.568,1.009,54/296,Q1,81.93,0.004,0.889,0.912,44.48,Q3,Q3,110,96.36%,8,9.2,106
Construction Management and Economics,CONSTR MANAG ECON,0144-6193,1466-433X,BUSINESS - ESCI,5070,NA,0.8,26.09%,NA,NA,NA,NA,NA,119/296,Q2,59.97,0.002,0.324,0.569,NA,NA,Q1,53,92.45%,11.1,9.1,49
Business & Society,BUS SOC,0007-6503,1552-4205,BUSINESS - SSCI,4694,6.74,1.57,11.68%,44/154,7.412,Q2,6.295,2.471,40/296,Q1,86.66,0.005,0.996,1.829,71.75,Q2,Q1,51,100%,7.6,10.9,51
